body_Click,body_Win,subj_credentials,body_richness,sender_diff_replyTo,body_Verify,sender_no_characters,subj_richness,body_iframe,subj_access,body_Open,subj_account,subj_security,body_forms,body_Security,body_scripts,body_num_of_attachments,body_popups,subj_forwarded_email,body_html,body_Confirm,subj_replied_email,body_Account,subj_prime_targets,body_Access,body_Bank,subj_forwarder_email,body_general_salutation,subj_verify,sender_no_words,subj_urgent,label
0,0,1,2.463667820069204,0,0,32,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,1,0
1,0,1,1.2432432432432432,0,0,30,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0
0,1,1,1.4285714285714286,0,0,34,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0
0,0,1,1.550561797752809,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,3,1,0
0,0,1,1.0833333333333333,0,0,53,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0
0,0,1,1.96875,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.6610169491525424,0,0,40,1.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.3157894736842106,0,0,30,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.392156862745098,0,0,30,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.0555555555555556,0,0,40,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.0454545454545454,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,0,1.0625,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,1,1.0454545454545454,0,0,44,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
0,0,1,1.263157894736842,0,0,46,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,1,0
0,0,1,2.0655737704918034,0,0,50,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0
0,0,1,1.2037037037037037,0,0,53,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0
1,1,1,1.9230769230769231,0,0,18,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
0,0,1,1.0,0,0,38,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.490566037735849,0,0,34,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,1,0
0,0,1,1.1111111111111112,0,0,38,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.609375,0,0,46,1.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0
0,1,1,2.5697841726618704,0,0,32,1.0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,1,0
0,1,1,1.4310344827586208,0,0,40,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0
0,0,0,1.0,0,0,38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,1,1,2.1575757575757577,0,0,44,1.3333333333333333,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.0,0,0,40,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,1,1,1.9424242424242424,0,0,40,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,1,1,1.6458333333333333,0,0,36,1.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0
0,1,1,1.3920454545454546,0,0,38,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0
0,0,1,1.04,0,0,32,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.1818181818181819,0,0,34,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.1041666666666667,0,0,46,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
0,0,1,1.5106382978723405,0,0,50,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
